state,state_full,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,latitude,longitude,state_yr,temp_min,temp_max,temp_min C,temp_max C
NC,North Carolina,13000,44,572000,172000,1.48,847000,2001,35.771,-78.638,NC_2001,39.81,77.61,4.339,25.341
ND,North Dakota,280000,96,26880000,9408000,0.69,18547000,2001,48.813343,-100.779004,ND_2001,5.79,71.13,-14.559,21.74
OH,Ohio,18000,81,1458000,569000,1.01,1473000,2001,39.962245,-83.000647,OH_2001,27.82,74.16,-2.32,23.421
OK,Oklahoma,4000,47,188000,105000,1.43,269000,2001,35.482309,-97.534994,OK_2001,36.18,86.6,2.323,30.336
OR,Oregon,44000,44,1936000,1200000,0.74,1433000,2001,44.931109,-123.029159,OR_2001,31.93,67.23,-0.037,19.57
PA,Pennsylvania,26000,57,1482000,785000,0.92,1363000,2001,40.269789,-76.875613,PA_2001,26.83,73.03,-2.872,22.795
RI,Rhode Island,0,0,0,0,0,0,2001,0,0,RI_2001,0,0,0,0
SC,South Carolina,7000,40,280000,67000,0.79,221000,2001,34,-81.035,SC_2001,44.03,80.79,6.681,27.104
SD,South Dakota,235000,65,15275000,12220000,0.71,10845000,2001,44.367966,-100.336378,SD_2001,12.91,75.41,-10.608,24.119
TN,Tennessee,8000,59,472000,131000,1.39,656000,2001,36.165,-86.784,TN_2001,34.63,77.79,1.463,25.441
TX,Texas,97000,79,7663000,1533000,0.65,4981000,2001,30.266667,-97.75,TX_2001,43.75,85.5,6.529,29.721
UT,Utah,23000,38,874000,315000,0.65,568000,2001,40.7547,-111.892622,UT_2001,24.3,72.19,-4.277,22.33
VT,Vermont,7000,81,567000,249000,0.92,522000,2001,44.26639,-72.57194,VT_2001,18.3,69.13,-7.612,20.626
VA,Virginia,9000,52,468000,94000,1.26,590000,2001,37.54,-77.46,VA_2001,34.8,76.06,1.558,24.48
WA,Washington,48000,52,2496000,1048000,0.72,1797000,2001,47.042418,-122.893077,WA_2001,31.42,65.77,-0.321,18.76
WV,West Virginia,7000,65,455000,410000,1.42,646000,2001,38.349497,-81.633294,WV_2001,30.07,73.8,-1.075,23.222
WI,Wisconsin,67000,81,5427000,3419000,0.82,4450000,2001,43.074722,-89.384444,WI_2001,15.57,70.59,-9.129,21.439
WY,Wyoming,38000,77,2926000,468000,0.65,1902000,2001,41.145548,-104.802042,WY_2001,20.41,68.85,-6.44,20.472
PR,Puerto Rico,0,0,0,0,0,0,2001,0,0,PR_2001,0,0,0,0
AL,Alabama,12000,86,1032000,103000,1.18,1218000,2002,32.361538,-86.279118,AL_2002,45.8,81.39,7.669,27.441
AK,Alaska,0,0,0,0,0,0,2002,0,0,AK_2002,0,0,0,0
AZ,Arizona,38000,63,2394000,1197000,1.08,2586000,2002,33.448457,-112.073844,AZ_2002,40.6,82.79,4.778,28.216
AR,Arkansas,45000,88,3960000,871000,1.26,4990000,2002,34.736009,-92.331122,AR_2002,42.54,81.32,5.856,27.402
CA,California,470000,50,23500000,3525000,1.32,31020000,2002,38.555605,-121.468926,CA_2002,42.47,77.37,5.817,25.204
CO,Colorado,24000,60,1440000,576000,1.29,1858000,2002,39.7391667,-104.984167,CO_2002,24.77,71.18,-4.019,21.764
CT,Connecticut,0,0,0,0,0,0,2002,0,0,CT_2002,0,0,0,0
DE,Delaware,0,0,0,0,0,0,2002,0,0,DE_2002,0,0,0,0
DC,District of Columbia,0,0,0,0,0,0,2002,0,0,DC_2002,0,0,0,0
FL,Florida,220000,93,20460000,2026000,1.14,23324000,2002,30.4518,-84.27277,FL_2002,59.32,82.07,15.179,27.815
GA,Georgia,50000,52,2600000,52000,1.13,2938000,2002,-84.27277,-84.39,GA_2002,46.56,81.7,8.089,27.609
HI,Hawaii,7000,136,952000,29000,1.11,1057000,2002,21.30895,-157.826182,HI_2002,69.17,76.99,20.649,24.992
ID,Idaho,1.00E+05,57,5700000,1653000,1.37,7809000,2002,43.613739,-116.237651,ID_2002,21.86,68.78,-5.633,20.432
IL,Illinois,9000,80,720000,130000,1.47,1058000,2002,39.78325,-89.650373,IL_2002,32.63,79.1,0.35,26.164
IN,Indiana,8000,62,496000,233000,1.19,590000,2002,39.790942,-86.147685,IN_2002,32.09,78.57,0.048,25.871
